ID,x
1,62.95901062
2,73.52294086
3,70.29687188
4,87.9858824
5,72.40120126
6,60.90807825
7,74.98890401
8,94.79128656
9,68.22459445
10,87.10272533
11,67.52372221
12,84.42241732
13,85.44458352
14,60.0552197
15,87.55873365
16,82.69600963
17,59.47726555
18,50.0349897
19,50.09970312
20,77.71168695
21,63.06998702
22,55.46230214
23,62.29477439
24,81.6579267
25,69.83056359
26,76.52418042
27,81.62533972
28,88.7170453
29,59.66947956
30,68.16732832
31,71.5004946
32,69.54872994
33,54.52796996
34,67.94983671
35,80.98686616
36,55.29729199
37,54.39069552
38,57.8037191
39,40.92019838
40,70.9760823
41,61.34749714
42,83.55643749
43,74.97158955
44,84.8729658
45,50.68430752
46,66.58831198
47,42.4232184
48,61.86305004
49,65.60474655
50,94.45380206
51,75.56043138
52,73.04970815
53,59.75568439
54,79.00056929
55,73.33384292
56,60.16852265
57,59.77500096
58,75.36082804
59,67.30404744
60,52.49507883
61,75.773617
62,60.39590075
63,70.39336305
64,44.98999629
65,45.02019639
66,71.96865251
67,73.56239235
68,75.51388667
69,73.36749513
70,86.7334906
71,81.79169284
72,69.52555593
73,70.68670772
75,95.37480969
76,52.53639524
77,82.53390823
78,74.23451536
79,48.56364889
80,86.22932862
81,54.1287722
82,55.54156695
83,75.76043134
84,81.31618326
85,52.57979148
86,66.49075331
87,81.9691467
88,70.07807523
89,97.14343499
90,52.60752637
91,69.49742254
92,76.99849129
93,87.32493725
94,60.46568143
95,63.52564062
96,58.43471489
97,64.75161699
98,78.91278906
99,73.10055387
100,77.61592969
101,59.59126803
102,64.4408516
103,66.2196272
104,42.96252735
105,55.59330718
106,65.34745937
107,91.14118352
108,63.23087118
109,60.81523822
110,76.4004146
111,87.51364527
112,72.0549773
113,81.66075178
114,60.40666375
115,74.314381
116,49.93324641
117,84.28439943
118,77.83147846
119,83.24406436
121,76.51201659
122,67.04281824
123,71.32820298
124,60.02425964
125,79.68872975
126,79.96550913
127,48.63002491
128,81.70261816
129,75.71282003
130,76.30474154
131,83.89659431
132,50.74434615
133,60.94760666
134,65.99952604
135,83.81522082
136,65.63939436
137,52.81627979
138,76.26635443
139,68.2941728
140,65.34741451
141,79.31202561
142,66.53544343
143,86.48300663
144,85.58811513
145,68.86479927
146,70.18768245
147,74.11789362
148,72.35578616
149,62.31515408
150,65.4428596
151,66.19061376
152,58.71922634
153,56.62801593
154,70.05053518
155,67.74670707
156,51.08787946
157,78.79296996
158,54.74498367
159,87.40265054
160,71.064899
161,77.27112085
162,65.33127136
163,61.43296684
164,97.59474894
165,64.36758391
166,76.91672595
167,70.4941452
168,72.66639567
169,67.60195742
170,39.98924323
171,69.66726423
172,91.92030001
173,71.90979689
174,74.41645928
175,66.15424326
176,74.91745092
177,49.81974932
178,71.54952848
179,64.06636077
180,63.9855805
181,52.06850203
182,66.01969442
183,73.03351593
184,69.20813033
186,95.78443074
187,59.14585694
188,66.19243965
189,51.94908601
190,74.05404269
191,69.38583244
192,75.59957074
193,65.98921412
194,61.08534551
195,74.89250843
196,63.32376874
